"id","tti","cb_index","it","total_its","ext1_avg","ext2_avg","ext1_avg_abs","ext2_avg_abs","cb_size","tbs","mcs","snr","dec_time","avg_it_block","crc","filename"
21828,2278,1,7,10,-1098527,-1676314,1269741,1878844,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,8,10,-1835953,-1676314,2053793,1878844,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,9,10,-1258166,-2123222,1437684,2365078,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21853,2292,0,0,10,-835748,-1031530,924730,1134960,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,1,10,-835748,-1100265,924730,1185921,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,2,10,-1193390,-1100265,1279538,1185921,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,3,10,-928873,-1245621,1021735,1335499,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,4,10,-1274084,-1245621,1363438,1335499,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,5,10,-957336,-1327022,1047788,1406576,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,6,10,-1435843,-1327022,1520267,1406576,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,7,10,-1066157,-1474255,1152681,1561157,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,8,10,-1388107,-1474255,1480439,1561157,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21853,2292,0,9,10,-980009,-1298798,1083359,1400948,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,0,10,-901794,-1298798,978536,1400948,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,1,10,-901794,-1244282,978536,1324384,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,2,10,-1397782,-1244282,1464010,1324384,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,3,10,-1055294,-1506833,1131238,1579237,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,4,10,-1635257,-1506833,1706871,1579237,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,5,10,-1183718,-1712722,1263140,1776248,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,6,10,-1715739,-1712722,1768555,1776248,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,7,10,-1186735,-1680650,1260239,1740180,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,8,10,-1673692,-1680650,1726158,1740180,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21854,2292,1,9,10,-1179777,-1732311,1250425,1792337,4352,12960,15,8.760734,678,10,0,"ags_data_2"
21857,2294,0,0,10,-965130,-1304370,1058760,1503200,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,1,10,-965130,-1344616,1058760,1439548,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,2,10,-1553920,-1344616,1644744,1439548,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,3,10,-1174434,-1691839,1266762,1774519,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,4,10,-1777828,-1691839,1855276,1774519,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,5,10,-1260423,-1807815,1347347,1884363,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,6,10,-1866796,-1807815,1934624,1884363,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,7,10,-1319404,-1983226,1398470,2045710,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,8,10,-2126491,-1983226,2187075,2045710,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21857,2294,0,9,10,-1462669,-2388857,1526959,2449635,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,0,10,-818067,-2388857,964019,2449635,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,1,10,-818067,-1139374,964019,1311718,4352,12960,15,8.712755,684,10,0,"ags_data_2"
